timestamp,Root/Objects/PLC/Modules/<Default>/TestIO/jopa,Root/Objects/PLC/Modules/<Default>/TestIO/kaka,Root/Objects/PLC/Modules/<Default>/TestIO/pipa
2025-03-04 13:47:46.395,385093,770186,The summery of two vars = 1155279
2025-03-04 13:47:46.411,385095,770190,The summery of two vars = 1155285
2025-03-04 13:47:46.427,385097,770194,The summery of two vars = 1155291
2025-03-04 13:47:46.442,385100,770200,The summery of two vars = 1155300
2025-03-04 13:47:46.458,385102,770204,The summery of two vars = 1155306
2025-03-04 13:47:46.475,385104,770208,The summery of two vars = 1155312
2025-03-04 13:47:46.489,385106,770212,The summery of two vars = 1155318
2025-03-04 13:47:46.501,385106,770212,The summery of two vars = 1155318
2025-03-04 13:47:46.512,385109,770218,The summery of two vars = 1155327
2025-03-04 13:47:46.523,385111,770222,The summery of two vars = 1155333
